/* DATA DESCRIPTION:
Citation:	Rojo, Maxence; Noer, Gunnar; Claud, Chantal (2019): Polar Low tracks in the Norwegian Sea and the Barents Sea from 1999 until 2019. PANGAEA, https://doi.org/10.1594/PANGAEA.903058, 
	Supplement to: Rojo, Maxence; Claud, Chantal; Noer, Gunnar; Carleton, Andrew M (2019): In Situ Measurements of Surface Winds, Waves, and Sea State in Polar Lows Over the North Atlantic. Journal of Geophysical Research: Atmospheres, 124(2), 700-718, https://doi.org/10.1029/2017JD028079
Abstract:	List of Polar Low (PL) events over the Nordic seas and their associated tracking for the period November 1999 until March 2018 using AVHRR imagery.
Related to:	Rojo, Maxence; Claud, Chantal; Mallet, Paul-Etienne; Noer, Gunnar; Carleton, Andrew M; Vicomte, Marie (2015): Polar low tracks over the Nordic Seas: a 14-winter climatic analysis. Tellus Series A-Dynamic Meteorology and Oceanography, 67(1), 24660, https://doi.org/10.3402/tellusa.v67.24660
Coverage:	MEDIAN LATITUDE: 71.099792 * MEDIAN LONGITUDE: 17.603222 * SOUTH-BOUND LATITUDE: 51.000000 * WEST-BOUND LONGITUDE: -32.000000 * NORTH-BOUND LATITUDE: 81.000000 * EAST-BOUND LONGITUDE: 81.000000
	DATE/TIME START: 1999-12-19T04:16:00 * DATE/TIME END: 2019-05-03T05:46:00
Event(s):	NordicSeas_NAtlantic * LATITUDE: 71.600000 * LONGITUDE: 18.000000 * LOCATION: Nordic Seas * METHOD/DEVICE: Satellite remote sensing (SAT)
Parameter(s):	Identification (ID) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * COMMENT: PolarLowID
	DATE/TIME (Date/Time) * GEOCODE * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr)
	Season (Season) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr)
	Observation (Obs) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr)
	LATITUDE (Latitude) * GEOCODE * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr)
	LONGITUDE (Longitude) * GEOCODE * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr)
	Diameter [km] (Ø) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Approximative diameter of a circle that forms the PL cloud vortex at the time of observation
	Diameter [km] (Ø) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Optional value of approximative diameter of a circle that forms the PL cloud vortex at the time of observation
	Morphology (Morphology) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: of PL at the time of observation, S = Spiraliform, C = Comma shaped, MGR = Merry-go-round, W = Wave system, U = Undefined, T = Transition between different forms, H = Hybrid, - = Systems don't appear completely on imagery
	Stage (Stage) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: of PL development at the time of observation, F = Formation, M = Mature, D = Decay
	Comment (Comment) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Specific mentions about PL
	Comment (Comment) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Added from visual inspection of historical NOAA AVHRR images only, without support of observations or NWP
	Comment (Comment) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Denotes uncertainties in visual inspection, and/or notes of the MET-NO list
	Pressure, atmospheric, minimum [hPa] (PPPP min) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Minimum pressure level recorded during PL lifecycle. Empty cells indicate that MSLP is not available.
	Wind speed, gust [arbitrary units] (ff gust) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Maximum 10 minute 10m wind speed observed (in knots). Empty cells indicate that Max wind speed is omitted; #35 = 35-40
	Wind speed, gust [arbitrary units] (ff gust) * PI: Rojo, Maxence (maxence.rojo@lmd.polytechnique.fr) * METHOD/DEVICE: Advanced Very High Resolution Radiometer (AVHRR) * COMMENT: Max 3 sec. gusts during PL lifecycle; #52 = 52(60)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Size:	34555 data points
*/
ID (PolarLowID)	Date/Time	Season	Obs	Latitude	Longitude	Ø [km] (Approximative diameter of a c...)	Ø [km] (Optional value of approximati...)	Morphology (of PL at the time of observat...)	Stage (of PL development at the time...)	Comment (Specific mentions about PL)	Comment (Added from visual inspection ...)	Comment (Denotes uncertainties in visu...)	PPPP min [hPa] (Minimum pressure level record...)	ff gust [arbitrary units] (Maximum 10 minute 10m wind sp...)	ff gust [arbitrary units] (Max 3 sec. gusts during PL li...)
101.b	2008-10-28T02:08	2008/2009	8	67.5	-6.0	480		C	M	Multiple_Reversed_NE_of_Scotland	-				
101.b	2008-10-28T03:48	2008/2009	9	66.8	-6.0	500		C	M	Multiple_Reversed_NE_of_Scotland	-				
101.c	2008-10-27T09:14	2008/2009	1	68.7	9.5	490		C	F	Multiple_Reversed_NE_of_Scotland	-				
101.c	2008-10-27T10:33	2008/2009	2	68.5	9.0	440		C	M	Multiple_Reversed_NE_of_Scotland	-				
101.c	2008-10-27T12:34	2008/2009	3	68.2	9.0	520		C	M	Multiple_Reversed_NE_of_Scotland	-				
101.c	2008-10-27T13:53	2008/2009	4	68.0	8.5			-	M	Multiple_Reversed_NE_of_Scotland	-				
101.c	2008-10-27T19:05	2008/2009	5	68.0	10.5	520		C	M	Multiple_Reversed_NE_of_Scotland	-				
101.c	2008-10-27T20:44	2008/2009	6	68.0	10.0	530		C	M	Multiple_Reversed_NE_of_Scotland	-				
101.c	2008-10-28T02:08	2008/2009	7	68.0	10.0	450		S	M	Multiple_Reversed_NE_of_Scotland	-				
101.c	2008-10-28T03:48	2008/2009	8	67.8	10.0	410		S	M	Multiple_Reversed_NE_of_Scotland	-				
101.c	2008-10-28T06:06	2008/2009	9	68.5	10.0	430		S	M	Multiple_Reversed_NE_of_Scotland	-				
101.c	2008-10-28T10:32	2008/2009	10	68.0	10.0	420		S	M	Multiple_Reversed_NE_of_Scotland	-				
101.c	2008-10-28T12:11	2008/2009	11	67.5	10.0	430		S	M	Multiple_Reversed_NE_of_Scotland	-				
101.c	2008-10-28T20:21	2008/2009	12	67.5	10.0	400		S	M	Multiple_Reversed_NE_of_Scotland	-				
101.c	2008-10-29T01:57	2008/2009	13	67.3	11.5	450		S	M	Multiple_Reversed_NE_of_Scotland	-				
101.c	2008-10-29T05:42	2008/2009	14	67.0	12.5	420		S	M	Multiple_Reversed_NE_of_Scotland	-				
101.c	2008-10-29T11:48	2008/2009	15	67.5	15.0			-	D	Multiple_Reversed_NE_of_Scotland	-				
102	2008-11-17T01:59	2008/2009	1	75.0	23.0	400		C	M	Reversed_Baroclinic_Convective_low	-		990	35	
102	2008-11-17T03:40	2008/2009	2	75.0	24.5	380		C	M	Reversed_Baroclinic_Convective_low	-		990	35	
102	2008-11-17T05:19	2008/2009	3	75.5	25.0	380		C	M	Reversed_Baroclinic_Convective_low	-		990	35	
102	2008-11-17T06:28	2008/2009	4	75.5	25.0	440		C	D	Reversed_Baroclinic_Convective_low	-		990	35	
102	2008-11-17T09:27	2008/2009	5	75.5	25.0	380		C	M	Reversed_Baroclinic_Convective_low	-		990	35	
102	2008-11-17T10:14	2008/2009	6	75.5	25.0	390		C	M	Reversed_Baroclinic_Convective_low	-		990	35	
102	2008-11-17T11:08	2008/2009	7	75.5	26.5	410		C	M	Reversed_Baroclinic_Convective_low	-		990	35	
102	2008-11-17T11:54	2008/2009	8	75.5	26.5	450		C	M	Reversed_Baroclinic_Convective_low	-		990	35	
102	2008-11-17T12:47	2008/2009	9	76.0	27.5			C	M	Reversed_Baroclinic_Convective_low	-		990	35	
102	2008-11-17T19:17	2008/2009	10	76.0	31.0	420		C	M	Reversed_Baroclinic_Convective_low	-		990	35	
102.b	2008-11-18T01:48	2008/2009	1	74.5	32.5	290		C	M	-	-				
102.b	2008-11-18T03:29	2008/2009	2	75.5	34.0	300		C	M	-	-				
102.b	2008-11-18T05:09	2008/2009	3	76.5	33.5			C	M	-	-				
102.b	2008-11-18T06:48	2008/2009	4	77.0	33.0			C	M	-	-				
102.b	2008-11-18T10:04	2008/2009	5	78.0	32.0	420		C	M	-	-				
102.b	2008-11-18T10:44	2008/2009	6	78.0	32.0			C	M	-	-				
102.b	2008-11-18T11:43	2008/2009	7	78.5	33.0	490		C	M	-	-				
102.b	2008-11-18T18:54	2008/2009	8	80.0	34.0	430		C	M	-	-				
102.b	2008-11-18T20:33	2008/2009	9	80.5	32.0			C	D	-	-				
103	2008-11-17T20:57	2008/2009	1	76.5	2.5	490		C	F	Leelow_SE_of_Svalbard_Baroclinic	-		980	40	
103	2008-11-18T01:48	2008/2009	2	76.0	1.0	490		C	M	Leelow_SE_of_Svalbard_Baroclinic	-		980	40	
103	2008-11-18T03:29	2008/2009	3	75.5	2.0	530		C	M	Leelow_SE_of_Svalbard_Baroclinic	-		980	40	
103	2008-11-18T05:09	2008/2009	4	75.5	1.0	490		C	M	Leelow_SE_of_Svalbard_Baroclinic	-		980	40	
103	2008-11-18T06:04	2008/2009	5	75.5	0.5			C	M	Leelow_SE_of_Svalbard_Baroclinic	-		980	40	
103	2008-11-18T06:48	2008/2009	6	75.5	-1.0	480		C	M	Leelow_SE_of_Svalbard_Baroclinic	-		980	40	
103	2008-11-18T10:04	2008/2009	7	75.0	0.0	510		C	M	Leelow_SE_of_Svalbard_Baroclinic	-		980	40	
103	2008-11-18T10:44	2008/2009	8	75.0	0.0	520		C	M	Leelow_SE_of_Svalbard_Baroclinic	-		980	40	
103	2008-11-18T11:43	2008/2009	9	74.8	0.0	500		C	M	Leelow_SE_of_Svalbard_Baroclinic	-		980	40	
103	2008-11-18T12:24	2008/2009	10	74.5	0.0	520		C	M	Leelow_SE_of_Svalbard_Baroclinic	-		980	40	
103	2008-11-18T13:24	2008/2009	11	74.0	0.0	530		C	M	Leelow_SE_of_Svalbard_Baroclinic	-		980	40	
103	2008-11-18T18:54	2008/2009	12	73.0	0.0	410		C - W	M	Leelow_SE_of_Svalbard_Baroclinic	-		980	40	
103	2008-11-18T20:33	2008/2009	13	72.8	0.0	390		C - W	M	Leelow_SE_of_Svalbard_Baroclinic	-		980	40	
103	2008-11-18T22:14	2008/2009	14	72.5	0.0			-	M	Leelow_SE_of_Svalbard_Baroclinic	-		980	40	
104	2008-11-18T18:54	2008/2009	1	71.0	13.0	430		C - W	M	Dual_Baroclinic_Reversed	-		971	55	
104	2008-11-18T20:33	2008/2009	2	71.0	13.5	520		C - W	M	Dual_Baroclinic_Reversed	-		971	55	
104	2008-11-19T01:38	2008/2009	3	71.0	14.0	530		S	M	Dual_Baroclinic_Reversed	-		971	55	
104	2008-11-19T03:19	2008/2009	4	70.8	14.5	550		S	M	Dual_Baroclinic_Reversed	-		971	55	
104	2008-11-19T04:59	2008/2009	5	70.4	15.5	580		S	M	Dual_Baroclinic_Reversed	-		971	55	
104	2008-11-19T05:40	2008/2009	6	70.4	15.5	600		S	M	Dual_Baroclinic_Reversed	-		971	55	
104	2008-11-19T06:37	2008/2009	7	70.2	16.5	570		S	M	Dual_Baroclinic_Reversed	-		971	55	
104	2008-11-19T08:40	2008/2009	8	70.0	16.0	580		S	M	Dual_Baroclinic_Reversed	-		971	55	
104	2008-11-19T09:54	2008/2009	9	70.0	15.5	560		S	M	Dual_Baroclinic_Reversed	-		971	55	
104	2008-11-19T10:21	2008/2009	10	70.0	15.5	520		S	M	Dual_Baroclinic_Reversed	-		971	55	
104	2008-11-19T11:33	2008/2009	11	70.0	15.0	530		S	M	Dual_Baroclinic_Reversed	-		971	55	
104	2008-11-19T12:01	2008/2009	12	69.9	15.0	530		S	M	Dual_Baroclinic_Reversed	-		971	55	
104	2008-11-19T13:13	2008/2009	13	69.9	15.0	540		S	M	Dual_Baroclinic_Reversed	-		971	55	
104	2008-11-19T18:20	2008/2009	14	69.2	13.7	480		S	M	Dual_Baroclinic_Reversed	-		971	55	
104	2008-11-19T20:03	2008/2009	15	68.8	15.0	490		S	M	Dual_Baroclinic_Reversed	-		971	55	
105	2008-11-20T03:08	2008/2009	1	69.0	9.5	260		C	M	Secondary_Reversed_shear_Baroclinic_Good_models	-		967	62	74
105	2008-11-20T04:48	2008/2009	2	69.0	8.0	300		C	M	Secondary_Reversed_shear_Baroclinic_Good_models	-		967	62	74
105	2008-11-20T05:16	2008/2009	3	69.0	8.0	330		C	M	Secondary_Reversed_shear_Baroclinic_Good_models	-		967	62	74
105	2008-11-20T06:27	2008/2009	4	68.4	7.0	360		C	M	Secondary_Reversed_shear_Baroclinic_Good_models	-		967	62	74
105	2008-11-20T09:58	2008/2009	5	67.5	7.5	510		T - S	M	Secondary_Reversed_shear_Baroclinic_Good_models	-		967	62	74
105	2008-11-20T11:38	2008/2009	6	67.0	10.0	550		S	M	Secondary_Reversed_shear_Baroclinic_Good_models	-		967	62	74
105	2008-11-20T13:03	2008/2009	7	66.5	10.0	580		S	M	Secondary_Reversed_shear_Baroclinic_Good_models	-		967	62	74
105	2008-11-20T19:47	2008/2009	8	65.0	12.5			-	D	Secondary_Reversed_shear_Baroclinic_Good_models	-		967	62	74
105	2008-11-20T21:27	2008/2009	9	64.5	13.0			-	D	Secondary_Reversed_shear_Baroclinic_Good_models	-		967	62	74
105.b	2008-11-20T21:27	2008/2009	1	67.0	9.0			-	F	-	-				
105.b	2008-11-21T01:17	2008/2009	2	66.7	8.0			-	M	-	-				
105.b	2008-11-21T02:58	2008/2009	3	66.0	8.0			-	M	-	-				
105.b	2008-11-21T04:38	2008/2009	4	65.8	7.5			-	M	-	-				
105.b	2008-11-21T06:32	2008/2009	5	65.0	7.5			-	M	-	-				
105.b	2008-11-21T09:34	2008/2009	6	64.5	7.5			-		-	-				
105.b	2008-11-21T11:15	2008/2009	7	64.0	8.5			-	M	-	-				
105.b	2008-11-21T12:52	2008/2009	8	63.0	9.0			-	M	-	-				
106	2008-11-28T03:25	2008/2009	1	70.3	7.0	230		C	M	Reversed_Widespread_convective	-		988	40	
106	2008-11-28T05:05	2008/2009	2	70.0	4.5	230		C	M	Reversed_Widespread_convective	-		988	40	
106	2008-11-28T06:43	2008/2009	3	70.0	4.0	220		C	M	Reversed_Widespread_convective	-		988	40	
106	2008-11-28T10:00	2008/2009	4	70.0	0.0	330		C	M	Reversed_Widespread_convective	-		988	40	
106	2008-11-28T11:39	2008/2009	5	69.7	-2.0	360		C	M	Reversed_Widespread_convective	-		988	40	
106	2008-11-28T13:20	2008/2009	6	69.0	-3.0	410		U - C	M	Reversed_Widespread_convective	-		988	40	
106	2008-11-28T18:23	2008/2009	7	67.0	-6.0	400		U - C	M	Reversed_Widespread_convective	-		988	40	
106	2008-11-28T21:41	2008/2009	8	66.5	-6.5	420		C	M	Reversed_Widespread_convective	-		988	40	
106	2008-11-29T01:33	2008/2009	9	66.0	-7.5			C	M	Reversed_Widespread_convective	-		988	40	
106	2008-11-29T03:15	2008/2009	10	65.5	-7.5	630		C	D	Reversed_Widespread_convective	-		988	40	
107	2008-11-29T19:39	2008/2009	1	73.5	-2.0	300		C	M	Convergence_Baroclinic	-		1004	35	
107	2008-11-29T21:18	2008/2009	2	73.5	-4.0	300		C	M	Convergence_Baroclinic	-		1004	35	
107	2008-11-30T01:23	2008/2009	3	73.3	-7.5	320		C	M	Convergence_Baroclinic	-		1004	35	
108	2009-01-07T01:26	2008/2009	1	72.7	37.5	260		C	M	Multiple_Baroclinic_Reversed_shear	-		972	49	64
108	2009-01-07T03:08	2008/2009	2	72.5	36.5	240		C	M	Multiple_Baroclinic_Reversed_shear	-		972	49	64
108	2009-01-07T04:48	2008/2009	3	72.5	36.0			C	M	Multiple_Baroclinic_Reversed_shear	-		972	49	64
108	2009-01-07T06:08	2008/2009	4	72.8	36.0	290		C	M	Multiple_Baroclinic_Reversed_shear	-		972	49	64
108	2009-01-07T09:43	2008/2009	5	72.5	33.5	270		C	M	Multiple_Baroclinic_Reversed_shear	-		972	49	64
108	2009-01-07T11:22	2008/2009	6	72.5	32.5	290		C	M	Multiple_Baroclinic_Reversed_shear	-		972	49	64
108	2009-01-07T16:06	2008/2009	7	72.0	32.0	280		C	M	Multiple_Baroclinic_Reversed_shear	-		972	49	64
108	2009-01-07T19:33	2008/2009	8	71.5	32.0	440		C	M	Multiple_Baroclinic_Reversed_shear	-		972	49	64
108.b	2009-01-06T19:56	2008/2009	1	71.7	29.0	410		C	F	Multiple	-				
108.b	2009-01-07T01:26	2008/2009	2	72.0	29.0	410		C	M	Multiple	-				
108.b	2009-01-07T03:08	2008/2009	3	72.0	29.0	370		C	M	Multiple	-				
108.b	2009-01-07T04:48	2008/2009	4	72.0	29.0	390		C	M	Multiple	-				
108.b	2009-01-07T06:08	2008/2009	5	72.0	28.0	430		C	M	Multiple	-				
108.b	2009-01-07T09:43	2008/2009	6	71.0	26.5	380		C	M	Multiple	-				
108.b	2009-01-07T11:22	2008/2009	7	70.5	26.0	380		C	M	Multiple	-				
108.b	2009-01-07T13:02	2008/2009	8	69.8	25.5			-	D	Multiple	-				
108.c	2009-01-07T01:26	2008/2009	1	70.2	37.5	180		C	M	Multiple	-				
108.c	2009-01-07T03:08	2008/2009	2	70.0	38.0	200		U	M	Multiple	-				
108.c	2009-01-07T04:48	2008/2009	3	70.0	38.0			U	M	Multiple	-				
108.c	2009-01-07T06:08	2008/2009	4	69.8	36.7	260		U	M	Multiple	-				
108.c	2009-01-07T09:43	2008/2009	5	69.0	38.0			U	D	Multiple	-				
109	2009-01-16T01:33	2008/2009	1	76.2	40.0			-	F	Baroclinic_Kara_Sea	-		990	55	66
109	2009-01-16T03:14	2008/2009	2	74.0	41.5			C	M	Baroclinic_Kara_Sea	-		990	55	66
109	2009-01-16T05:52	2008/2009	3	73.0	47.5			C	M	Baroclinic_Kara_Sea	-		990	55	66
109	2009-01-16T07:10	2008/2009	4	72.8	50.0			C	M	Baroclinic_Kara_Sea	-		990	55	66
109	2009-01-16T09:49	2008/2009	5	72.3	53.5			C	M	Baroclinic_Kara_Sea	-		990	55	66
109	2009-01-16T12:13	2008/2009	6	71.0	57.0	480		C	M	Baroclinic_Kara_Sea	-		990	55	66
109	2009-01-16T15:58	2008/2009	7	71.0	61.0	490		C	M	Baroclinic_Kara_Sea	-		990	55	66
109	2009-01-16T17:35	2008/2009	8	70.2	63.5	580		C	M	Baroclinic_Kara_Sea	-		990	55	66
110	2009-02-04T22:03	2008/2009	1	72.5	0.0	370		C	F	Marginal	-		1008	33	
110	2009-02-05T01:23	2008/2009	2	72.0	-3.5	430		C - T	M	Marginal	-		1008	33	
110	2009-02-05T03:05	2008/2009	3	71.3	-4.0	410		T	M	Marginal	-		1008	33	
110	2009-02-05T06:14	2008/2009	4	70.5	-5.0	420		S	M	Marginal	-		1008	33	
110	2009-02-05T10:10	2008/2009	5	69.2	-6.0	460		S	M	Marginal	-		1008	33	
110	2009-02-05T11:50	2008/2009	6	68.9	-6.5	490		S	M	Marginal	-		1008	33	
110	2009-02-05T12:59	2008/2009	7	68.5	-7.0	460		S	M	Marginal	-		1008	33	
110	2009-02-05T14:41	2008/2009	8	68.0	-7.5			S	D	Marginal	-		1008	33	
110.b	2009-02-05T01:23	2008/2009	1	65.0	-1.0			C	F	Not_dual_on_the_MetNo_list_Uncertainties	-	X			
110.b	2009-02-05T03:05	2008/2009	2	63.0	-3.0	310		C	M	Not_dual_on_the_MetNo_list_Uncertainties	-	X			
110.b	2009-02-05T06:14	2008/2009	3	61.5	-3.5	390		S	M	Not_dual_on_the_MetNo_list_Uncertainties	-	X			
110.b	2009-02-05T10:10	2008/2009	4	61.0	-3.5	460		S	M	Not_dual_on_the_MetNo_list_Uncertainties	-	X			
110.b	2009-02-05T11:50	2008/2009	5	60.7	-3.0	480		S	M	Not_dual_on_the_MetNo_list_Uncertainties	-	X			
110.b	2009-02-05T12:59	2008/2009	6	60.3	-3.0	440		S	M	Not_dual_on_the_MetNo_list_Uncertainties	-	X			
111	2009-02-05T18:21	2008/2009	1	69.5	39.5	240		W	M	Dual_Small	-		1010	30	
111	2009-02-06T01:13	2008/2009	2	68.5	41.0	230		C	M	Dual_Small	-		1010	30	
111	2009-02-06T02:54	2008/2009	3	68.2	42.0	250		C	M	Dual_Small	-		1010	30	
111	2009-02-06T05:50	2008/2009	4	67.7	43.0	240		C	M	Dual_Small	-		1010	30	
111.b	2009-02-05T18:21	2008/2009	1	71.5	42.5	240		W	M	Dual_Small	-				
112	2009-02-07T09:19	2008/2009	1	71.5	42.0	230		W	F	Dual	-		1005	35	
112	2009-02-07T10:58	2008/2009	2	72.0	42.5	240		W	M	Dual	-		1005	35	
112	2009-02-07T19:13	2008/2009	3	72.5	43.0	310		W	M	Dual	-		1005	35	
112	2009-02-08T00:51	2008/2009	4	72.8	43.5	490		W	M	Dual	-		1005	35	
112	2009-02-08T02:33	2008/2009	5	73.3	44.0	490		W	M	Dual	-		1005	35	
112.b	2009-02-07T19:13	2008/2009	1	76.0	46.5	230		W	M	Dual	-				
112.b	2009-02-08T00:51	2008/2009	2	76.0	42.5			W	M	Dual	-				
112.b	2009-02-08T02:33	2008/2009	3	76.0	41.0	380		W	M	Dual	-				
112.b	2009-02-08T04:13	2008/2009	4	76.0	40.0			-	M	Dual	-				
113	2009-02-26T12:39	2008/2009	1	71.0	14.0			C	F	Dual_Baroclinic_Reversed	-		985	45	54
113	2009-02-26T16:43	2008/2009	2	70.5	13.0	290		C	M	Dual_Baroclinic_Reversed	-		985	45	54
113	2009-02-26T18:33	2008/2009	3	70.3	12.5	350		C	M	Dual_Baroclinic_Reversed	-		985	45	54
113	2009-02-26T20:11	2008/2009	4	70.3	12.0	430		C	M	Dual_Baroclinic_Reversed	-		985	45	54
113	2009-02-27T00:53	2008/2009	5	69.5	11.0	420		C	M	Dual_Baroclinic_Reversed	-		985	45	54
113	2009-02-27T02:35	2008/2009	6	69.0	10.2	380		C	M	Dual_Baroclinic_Reversed	-		985	45	54
113	2009-02-27T05:47	2008/2009	7	68.0	10.0	300		C	M	Dual_Baroclinic_Reversed	-		985	45	54
113	2009-02-27T09:59	2008/2009	8	67.3	11.0	310		H	M	Dual_Baroclinic_Reversed	-		985	45	54
113	2009-02-27T12:29	2008/2009	9	66.7	11.5	320		H	M	Dual_Baroclinic_Reversed	-		985	45	54
113.b	2009-02-26T12:39	2008/2009	1	71.0	5.5	200		C	F	Dual	-				
113.b	2009-02-26T16:43	2008/2009	2	69.7	4.5			C	M	Dual	-				
113.b	2009-02-26T18:33	2008/2009	3	69.2	4.0	290		C	M	Dual	-				
113.b	2009-02-26T20:11	2008/2009	4	69.0	3.0	310		C	M	Dual	-				
113.b	2009-02-27T00:53	2008/2009	5	67.0	3.5	310		C	M	Dual	-				
113.b	2009-02-27T02:35	2008/2009	6	66.5	3.5	280		T	M	Dual	-				
113.b	2009-02-27T05:47	2008/2009	7	65.0	4.0	290		S	M	Dual	-				
114	2009-02-27T19:48	2008/2009	1	72.5	33.5	300		C	M	Baroclinic	-		1000	30	
114	2009-02-28T00:42	2008/2009	2	72.5	35.0	350		C	M	Baroclinic	-		1000	30	
114	2009-02-28T04:05	2008/2009	3	72.3	35.5	360		T - S	M	Baroclinic	-		1000	30	
114	2009-02-28T05:23	2008/2009	4	72.1	36.0	410		S	M	Baroclinic	-		1000	30	
114	2009-02-28T09:35	2008/2009	5	71.7	37.0	410		S	M	Baroclinic	-		1000	30	
114	2009-02-28T11:16	2008/2009	6	71.5	38.0	410		S	M	Baroclinic	-		1000	30	
115	2009-03-27T18:58	2008/2009	1	68.5	-8.0	410		C	M	Baroclinic_Convergence	-		995	35	
115	2009-03-27T22:18	2008/2009	2	68.7	-6.0	450		C	M	Baroclinic_Convergence	-		995	35	
115	2009-03-28T02:31	2008/2009	3	68.9	-7.0	480		C	M	Baroclinic_Convergence	-		995	35	
115	2009-03-28T05:53	2008/2009	4	68.5	-7.5	480		C	M	Baroclinic_Convergence	-		995	35	
115	2009-03-28T09:07	2008/2009	5	68.5	-6.5	480		C	M	Baroclinic_Convergence	-		995	35	
115	2009-03-28T12:04	2008/2009	6	68.5	-6.5	480		C	M	Baroclinic_Convergence	-		995	35	
115	2009-03-28T14:07	2008/2009	7	68.5	-7.5	520		C	M	Baroclinic_Convergence	-		995	35	
115	2009-03-28T18:35	2008/2009	8	68.2	-9.0	480		C	M	Baroclinic_Convergence	-		995	35	
115	2009-03-28T20:14	2008/2009	9	68.5	-9.0	530		C	M	Baroclinic_Convergence	-		995	35	
116	2009-04-02T05:33	2008/2009	1	73.7	35.0	220		H	F	Baroclinic_Reversed_Marginal	-		1008	35	
116	2009-04-02T08:28	2008/2009	2	73.0	35.0	180		S	M	Baroclinic_Reversed_Marginal	-		1008	35	
116	2009-04-02T10:09	2008/2009	3	72.5	35.5	250		S	M	Baroclinic_Reversed_Marginal	-		1008	35	
116	2009-04-02T11:48	2008/2009	4	72.5	35.0	250		S	M	Baroclinic_Reversed_Marginal	-		1008	35	
116	2009-04-02T18:19	2008/2009	5	71.3	35.5	290		S	M	Baroclinic_Reversed_Marginal	-		1008	35	
117	2009-04-03T19:35	2008/2009	1	75.5	25.0	500		C	F	Baroclinic	-		996	40	
117	2009-04-04T01:17	2008/2009	2	74.5	28.0	480		C	M	Baroclinic	-		996	40	
117	2009-04-04T02:58	2008/2009	3	74.5	30.0	460		C	M	Baroclinic	-		996	40	
117	2009-04-04T06:25	2008/2009	4	74.0	32.5	460		C	M	Baroclinic	-		996	40	
117	2009-04-04T09:22	2008/2009	5	73.5	36.0	460		C	M	Baroclinic	-		996	40	
117	2009-04-04T11:13	2008/2009	6	73.5	38.0	430		C	M	Baroclinic	-		996	40	
117	2009-04-04T19:12	2008/2009	7	72.0	40.0	400		T	M	Baroclinic	-		996	40	
117	2009-04-05T01:06	2008/2009	8	71.3	42.5	410		T	M	Baroclinic	-		996	40	
117	2009-04-05T02:48	2008/2009	9	70.6	43.5	390		S	M	Baroclinic	-		996	40	
117	2009-04-05T08:58	2008/2009	10	70.0	45.0	360		S	M	Baroclinic	-		996	40	
117	2009-04-05T10:39	2008/2009	11	70.0	46.0	360		S	D	Baroclinic	-		996	40	
117	2009-04-05T01:06	2008/2009	12	71.3	42.5	410		T	M	Baroclinic_Reversed	-		996	40	
117	2009-04-05T02:48	2008/2009	13	70.6	43.5	390		S	M	Baroclinic_Reversed	-		996	40	
117	2009-04-05T08:58	2008/2009	14	70.0	45.0	360		S	M	Baroclinic_Reversed	-		996	40	
117	2009-04-05T10:39	2008/2009	15	70.0	46.0	360		S	D	Baroclinic_Reversed	-		996	40	
118	2009-04-05T01:06	2008/2009	1	74.0	22.5	340		C	F	Cirrus_waves_on_top	-		1008	30	
118	2009-04-05T02:48	2008/2009	2	73.7	23.0	380		C	M	Cirrus_waves_on_top	-		1008	30	
118	2009-04-05T04:28	2008/2009	3	73.3	24.0	360		C	M	Cirrus_waves_on_top	-		1008	30	
118	2009-04-05T06:01	2008/2009	4	73.0	24.5	430		C	M	Cirrus_waves_on_top	-		1008	30	
